[2019-07-15 16:15:25] [Info] Connect clients4.google.com:443
[2019-07-15 16:15:25] [Info] Connect clients4.google.com:443
[2019-07-15 16:15:25] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:15:58] [Info] Connect clients4.google.com:443
[2019-07-15 16:15:58] [Info] Connect clients4.google.com:443
[2019-07-15 16:15:58] [Info] Connect clients4.google.com:443
[2019-07-15 16:15:58] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:16:25] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:16:25] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:16:26] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:16:26] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-15 16:16:26] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:16:26] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:16:26] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:16:26] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-15 16:16:26] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:16:27] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:16:27] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:16:27] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-15 16:16:27] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:16:27] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:16:27] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:16:28] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-15 16:16:28] [Error] connect to update server error
[2019-07-15 16:16:34] [Info] Connect clients4.google.com:443
[2019-07-15 16:16:34] [Info] Connect clients4.google.com:443
[2019-07-15 16:16:34] [Info] Connect clients4.google.com:443
[2019-07-15 16:16:35] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:16:49] [Info] Direct connect qbwup.imtt.qq.com:80
[2019-07-15 16:16:49] [Info] Direct connect qbwup.imtt.qq.com:80
[2019-07-15 16:16:49] [Info] Direct connect qbwup.imtt.qq.com:80
[2019-07-15 16:16:49] [Info] Direct connect qbwup.imtt.qq.com:80
[2019-07-15 16:17:14] [Info] Connect clients4.google.com:443
[2019-07-15 16:17:14] [Info] Connect clients4.google.com:443
[2019-07-15 16:17:14] [Info] Connect clients4.google.com:443
[2019-07-15 16:17:15] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:17:35] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:17:35] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:17:36] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:17:36] [Info] Disconnect az764295.vo.msecnd.net:443
[2019-07-15 16:17:58] [Info] Connect v10.events.data.microsoft.com:443
[2019-07-15 16:17:58] [Info] Connect clients4.google.com:443
[2019-07-15 16:17:58] [Info] Connect v10.events.data.microsoft.com:443
[2019-07-15 16:17:58] [Info] Connect clients4.google.com:443
[2019-07-15 16:17:58] [Info] Connect v10.events.data.microsoft.com:443
[2019-07-15 16:17:58] [Info] Connect clients4.google.com:443
[2019-07-15 16:17:58] [Info] Disconnect v10.events.data.microsoft.com:443
[2019-07-15 16:17:58] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:18:46] [Info] Connect clients4.google.com:443
[2019-07-15 16:18:46] [Info] Connect clients4.google.com:443
[2019-07-15 16:18:46] [Info] Connect clients4.google.com:443
